tweet_id	date	time	lang	country_code
1296298313793310720	2020-08-20	04:09:36	en	CA
1296298909057167360	2020-08-20	04:11:58	en	CA
1296300064231403520	2020-08-20	04:16:34	en	CA
1296300069176487944	2020-08-20	04:16:35	en	CA
1296301184290963457	2020-08-20	04:21:01	en	CA
1296303266670804992	2020-08-20	04:29:17	en	CA
1296306266092969985	2020-08-20	04:41:12	en	CA
1296308329531060224	2020-08-20	04:49:24	en	CA
1296309620051304449	2020-08-20	04:54:32	en	CA
1296310046377336833	2020-08-20	04:56:13	en	CA
1296310325323509760	2020-08-20	04:57:20	en	CA
1296310334811181061	2020-08-20	04:57:22	en	CA
1296311260573650945	2020-08-20	05:01:03	en	CA
1296312353466847233	2020-08-20	05:05:24	en	CA
1296312514687500288	2020-08-20	05:06:02	en	CA
1296314909106401280	2020-08-20	05:15:33	en	CA
1296314910121455621	2020-08-20	05:15:33	en	CA
1296316602418368513	2020-08-20	05:22:17	en	CA
1296325754095939584	2020-08-20	05:58:39	en	CA
1296328176931500035	2020-08-20	06:08:16	en	CA
1296329142351298565	2020-08-20	06:12:06	en	CA
1296329756598603776	2020-08-20	06:14:33	en	CA
1296329758188244992	2020-08-20	06:14:33	en	CA
1296329758662209537	2020-08-20	06:14:33	en	CA
1296335190885728256	2020-08-20	06:36:08	en	CA
1296340292723855361	2020-08-20	06:56:25	en	CA
1296345359623454721	2020-08-20	07:16:33	en	CA
1296345360676184065	2020-08-20	07:16:33	en	CA
1296345918195736576	2020-08-20	07:18:46	en	CA
1296359955130249216	2020-08-20	08:14:33	en	CA
1296363320778399744	2020-08-20	08:27:55	en	CA
1296370163042799616	2020-08-20	08:55:06	en	CA
1296371498987397120	2020-08-20	09:00:25	en	CA
1296372030443462657	2020-08-20	09:02:32	en	CA
1296372031454187521	2020-08-20	09:02:32	en	CA
1296375056398839808	2020-08-20	09:14:33	en	CA
1296375058739245056	2020-08-20	09:14:34	en	CA
1296385616649887745	2020-08-20	09:56:31	en	CA
1296386561290964992	2020-08-20	10:00:16	en	CA
1296389902339170304	2020-08-20	10:13:33	en	CA
1296389902620192768	2020-08-20	10:13:33	en	CA
1296391478491656192	2020-08-20	10:19:48	en	CA
1296398248412958721	2020-08-20	10:46:42	en	CA
1296398706715930624	2020-08-20	10:48:32	en	CA
1296400324912197632	2020-08-20	10:54:58	en	CA
1296402240870244352	2020-08-20	11:02:34	en	CA
1296402408902451201	2020-08-20	11:03:14	en	CA
1296402955734790144	2020-08-20	11:05:25	en	CA
1296404751190564868	2020-08-20	11:12:33	en	CA
1296404752192933888	2020-08-20	11:12:33	en	CA
1296405166229463040	2020-08-20	11:14:12	en	CA
1296406281394290694	2020-08-20	11:18:38	en	CA
1296408387257868288	2020-08-20	11:27:00	en	CA
1296409787513688064	2020-08-20	11:32:34	en	CA
1296410742992908290	2020-08-20	11:36:21	en	CA
1296412063556866052	2020-08-20	11:41:36	en	CA
1296415295305912322	2020-08-20	11:54:27	en	CA
1296416078495653890	2020-08-20	11:57:34	en	CA
1296416253494657024	2020-08-20	11:58:15	en	CA
1296417156494753793	2020-08-20	12:01:51	en	CA
1296418212972761088	2020-08-20	12:06:02	en	CA
1296419506361860107	2020-08-20	12:11:11	en	CA
1296419720418209793	2020-08-20	12:12:02	en	CA
1296419851213340674	2020-08-20	12:12:33	en	CA
1296419853688070145	2020-08-20	12:12:34	en	CA
1296423161261699073	2020-08-20	12:25:42	en	CA
1296423285777932289	2020-08-20	12:26:12	en	CA
1296423310910197760	2020-08-20	12:26:18	en	CA
1296424209502154752	2020-08-20	12:29:52	en	CA
1296424404700798976	2020-08-20	12:30:39	en	CA
1296424868297216006	2020-08-20	12:32:29	en	CA
1296424883262496768	2020-08-20	12:32:33	en	CA
1296425641773015040	2020-08-20	12:35:34	en	CA
1296426269622644739	2020-08-20	12:38:03	en	CA
1296427731710873600	2020-08-20	12:43:52	en	CA
1296428496856797186	2020-08-20	12:46:54	en	CA
1296429088106782720	2020-08-20	12:49:15	en	CA
1296429863474167810	2020-08-20	12:52:20	en	CA
1296431221904416770	2020-08-20	12:57:44	en	CA
1296431678899081216	2020-08-20	12:59:33	en	CA
1296432823390404609	2020-08-20	13:04:06	en	CA
1296434495428661249	2020-08-20	13:10:44	en	CA
1296434956063907846	2020-08-20	13:12:34	en	CA
1296436290037190656	2020-08-20	13:17:52	en	CA
1296437097549758465	2020-08-20	13:21:05	en	CA
1296438319803502593	2020-08-20	13:25:56	en	CA
1296439070080618496	2020-08-20	13:28:55	en	CA
1296439414051266561	2020-08-20	13:30:17	en	CA
1296439414374256642	2020-08-20	13:30:17	en	CA
1296439955263229952	2020-08-20	13:32:26	en	CA
1296440970049990658	2020-08-20	13:36:28	en	CA
1296442344091389952	2020-08-20	13:41:56	en	CA
1296444240059404291	2020-08-20	13:49:28	en	CA
1296444498923356164	2020-08-20	13:50:29	en	CA
1296446496221671424	2020-08-20	13:58:26	en	CA
1296447843843137538	2020-08-20	14:03:47	en	CA
1296448330499792898	2020-08-20	14:05:43	en	CA
1296448508761907202	2020-08-20	14:06:25	en	CA
1296448625522900993	2020-08-20	14:06:53	en	CA
1296448759459700736	2020-08-20	14:07:25	en	CA
1296449204638842880	2020-08-20	14:09:11	en	CA
1296449240550576128	2020-08-20	14:09:20	en	CA
1296449342728019968	2020-08-20	14:09:44	en	CA
1296450049552060419	2020-08-20	14:12:33	en	CA
1296450050760101895	2020-08-20	14:12:33	en	CA
1296453973340295169	2020-08-20	14:28:08	en	CA
1296454182459908098	2020-08-20	14:28:58	en	CA
1296454272092123139	2020-08-20	14:29:20	en	CA
1296454782123679744	2020-08-20	14:31:21	en	CA
1296454809411821568	2020-08-20	14:31:28	en	CA
1296454821726375936	2020-08-20	14:31:31	en	CA
1296455652328579075	2020-08-20	14:34:49	en	CA
1296456202403172353	2020-08-20	14:37:00	en	CA
1296456842068058113	2020-08-20	14:39:32	en	CA
1296457027162710022	2020-08-20	14:40:16	en	CA
1296457505678254080	2020-08-20	14:42:11	en	CA
1296457747370737664	2020-08-20	14:43:08	en	CA
1296462532446687233	2020-08-20	15:02:09	en	CA
1296463676598345729	2020-08-20	15:06:42	en	CA
1296463742792806403	2020-08-20	15:06:58	en	CA
1296465149134606336	2020-08-20	15:12:33	en	CA
1296465150380314625	2020-08-20	15:12:33	en	CA
1296465150741020678	2020-08-20	15:12:33	en	CA
1296466638859116545	2020-08-20	15:18:28	en	CA
1296466662213005312	2020-08-20	15:18:34	en	CA
1296467230243336198	2020-08-20	15:20:49	en	CA
1296468546768252931	2020-08-20	15:26:03	en	CA
1296469824823013376	2020-08-20	15:31:08	en	CA
1296471218787426310	2020-08-20	15:36:40	en	CA
1296471832510500864	2020-08-20	15:39:06	en	CA
1296472067521622017	2020-08-20	15:40:02	en	CA
1296472143941849089	2020-08-20	15:40:21	en	CA
1296472344593084419	2020-08-20	15:41:08	en	CA
1296473632458387465	2020-08-20	15:46:15	en	CA
1296473803493650433	2020-08-20	15:46:56	en	CA
1296473829162864640	2020-08-20	15:47:02	en	CA
1296473972989624321	2020-08-20	15:47:37	en	CA
1296474774374408193	2020-08-20	15:50:48	en	CA
1296475105250488323	2020-08-20	15:52:07	en	CA
1296476205689036802	2020-08-20	15:56:29	en	CA
1296476505141391361	2020-08-20	15:57:40	en	CA
1296476600645623809	2020-08-20	15:58:03	en	CA
1296476616193970184	2020-08-20	15:58:07	en	CA
1296477720843558912	2020-08-20	16:02:30	en	CA
1296479749401976833	2020-08-20	16:10:34	en	CA
1296480245562904578	2020-08-20	16:12:32	en	CA
1296480252307345408	2020-08-20	16:12:34	en	CA
1296480577072357378	2020-08-20	16:13:51	en	CA
1296480593019052035	2020-08-20	16:13:55	en	CA
1296481159069814784	2020-08-20	16:16:10	en	CA
1296481355610677253	2020-08-20	16:16:57	en	CA
1296483148612677637	2020-08-20	16:24:04	en	CA
1296483403693461504	2020-08-20	16:25:05	en	CA
1296485392468905989	2020-08-20	16:32:59	en	CA
1296485599558475776	2020-08-20	16:33:49	en	CA
1296487393370005507	2020-08-20	16:40:56	en	CA
1296487452622946307	2020-08-20	16:41:10	en	CA
1296487487783788549	2020-08-20	16:41:19	en	CA
1296489080948236291	2020-08-20	16:47:39	en	CA
1296490378019954688	2020-08-20	16:52:48	en	CA
1296490389747240962	2020-08-20	16:52:51	en	CA
1296492001936973824	2020-08-20	16:59:15	en	CA
1296492734597955587	2020-08-20	17:02:10	en	CA
